"ids","rel.ids","mzs","RTs","Int"
391,183,133.0857826786,318.2496188851,33599864
396,183,87.0440242834,318.2341124069,33262944
763,183,155.067630792,318.1391935127,18429462
766,183,115.0753051853,318.1991165516,18358082
392,184,102.0548931907,58.2583649214,33539880
3311,184,84.0443731512,57.2090955335,10044244
2433,184,212.0914575249,57.7767001561,5167362
2432,184,211.1074351126,58.9875315257,1123905.125
394,185,332.21765909,378.0214004517,33492754
2290,185,333.2211715448,377.9789204148,5477797.5
395,186,251.1024891081,350.0285077776,33307210
2926,186,252.1057220051,349.9709010269,4198203.5
387,187,302.3050559311,619.9774468001,33283782
398,188,330.6871705114,293.9682868282,33104946
1326,188,331.1885440634,293.9606952667,10389502
399,189,85.0283502668,75.9188817934,33011868
434,189,287.1236429594,75.1613598559,30060836
453,189,231.0837177656,75.5809984095,28784098
485,189,226.1282631416,75.7247398013,26151416
687,189,97.0283632981,76.0629043579,20055662
1017,189,163.0599364535,76.2819675179,13792166
1502,189,439.1785159363,75.6416500637,9001952
1965,189,254.1596229815,75.4563847496,6500121
2264,189,195.0861191743,76.333610898,5532593
2487,189,247.0577420194,75.6620207287,5052683
408,190,197.0806405868,393.0422090803,32117390
3484,190,198.0839236373,393.088314562,3421943.5
409,191,259.1287486846,87.1446987334,32082366
641,191,269.1131198817,89.4121758183,20995656
3382,191,260.131935225,87.1061636007,3551833.5
4251,191,270.1164991661,88.6795881907,2757225.75
412,192,441.1000574692,44.426374935,31904734
989,192,423.0895103805,44.599287578,14129922
2278,192,783.216112892,44.2718718896,5493269.5
2477,192,442.1034933215,44.583593546,5074597.5
415,193,216.0629339006,42.3405435695,31270686
416,194,374.1707179262,384.1523571923,31210480
1928,194,375.174225813,384.1708577474,6618109.5
418,195,279.1588379286,538.1623024164,31165688
1918,195,301.1407270098,538.0733571607,6668049.5
2195,195,280.1621291006,538.0702209473,5734299.5
419,196,231.1125480955,338.7205160232,31146450
2753,196,232.1158606921,338.7613852365,4506606
423,197,291.6839997633,270.1017086405,30810000
738,197,284.6580564148,269.7303881233,19070036
