"ids","rel.ids","mzs","RTs","Ints","relationship","isotope.pattern","charge"
402,79,474.415637626595,182.864110214507,2908845.8405692,"potential bp",4,1
14813,465,629.213875929688,192.694467061703,22206.7772334722,"potential bp|isotope",0,1
2334,24,871.180171315991,186.396449040108,430739.386693325,"potential bp",7,1
4857,24,431.08688333233,186.545666642323,163376.702343264,"potential bp",8,1
10748,143,431.08639654464,177.212290458737,45303.3277348061,"",NA,NA
10545,465,628.214244681691,192.558467847229,47178.2595360903,"potential bp",0,1
2088,24,858.207484008042,186.136155829958,487959.225990361,"",NA,NA
6766,24,223.063904175676,186.313689465155,102114.236917539,"",NA,NA
3721,358,462.146426629381,188.974694282593,238123.048727871,"bp",NA,NA
1158,79,495.34487152825,182.665673076027,952505.588475732,"potential bp",5,1
3199,4415,495.34467476913,189.980894270919,288223.228297795,"bp",0,1
9323,465,627.216123312987,192.641780487023,60197.3125908431,"",NA,NA
6745,465,626.215264694461,192.574079685457,102556.95402087,"bp",NA,NA
4037,24,891.276937331019,186.199360813347,212916.190694039,"",NA,NA
4348,24,892.278718106168,186.107104641886,191431.767388971,"",NA,NA
3398,144,503.107504643861,127.626181341842,265729.969228874,"",NA,NA
3347,16,503.10748842819,157.255898511406,271671.312711775,"",NA,NA
6751,24,503.107415937099,186.294965060838,102412.06422669,"",NA,NA
6299,3134,503.107443334062,120.245690620261,113890.087742294,"bp",NA,NA
7121,13,503.107467481798,132.058832896429,94750.1203241873,"",NA,NA
5680,2717,201.148635239621,187.386379857882,131918.727840323,"bp",NA,NA
2903,24,873.179412104289,186.350380283679,326203.898808828,"potential bp|isotope",7,1
2872,7015,529.388612164939,184.370986907368,331346.5330055,"bp",0,1
2779,24,872.181148654445,186.393524549911,344867.152091892,"potential bp|isotope",7,1
4829,24,893.277474877335,185.946792735545,164641.976819216,"potential bp",9,1
16487,245,672.477883586091,197.394867931077,15910.7334516333,"bp|isotope",1,1
2741,13,285.010186832082,131.935271658219,351868.038898982,"potential bp",17,1
2766,16,285.010236367498,157.044269681568,348077.337401661,"",NA,NA
2974,24,285.010056636951,186.39405886079,317650.022087062,"potential bp",10,1
725,125,371.101227111544,46.0140711136613,1606025.96670877,"",NA,NA
165,57,371.101357628546,65.4022927370759,7768932.52779734,"",NA,NA
384,33,371.101279856916,99.1873279774762,3113177.07286006,"potential bp",13,1
1548,13,371.101216393996,131.914756604174,692221.233411691,"",NA,NA
1933,16,371.101107504068,157.179990599487,538077.658103657,"",NA,NA
3020,24,371.101050992865,186.831540195293,309601.754794577,"",NA,NA
3598,137,371.10133398543,120.382192473958,247279.977232292,"",NA,NA
4446,197,371.100862941518,35.1392261780269,185254.899108346,"",NA,NA
4901,146,371.101242128921,148.160344762905,161249.92588562,"",NA,NA
7716,433,371.100721924785,176.775968460941,83882.3979057617,"bp",NA,NA
2238,1459,371.100877375469,82.4322355484601,451466.658697088,"bp",NA,NA
4868,411,371.101110340493,56.0122789847298,162730.649212234,"bp",NA,NA
514,79,439.378544646907,182.805065054876,2286609.02916282,"potential bp",6,1
1032,222,439.378324796136,189.298598189329,1085186.82631802,"potential bp",2,1
1495,13,445.120018772176,131.988987082953,725379.740459981,"",NA,NA
3580,16,445.119719291825,157.249499633756,248885.852911987,"",NA,NA
2954,105,445.119936552492,187.976071249209,319592.063816402,"",NA,NA
1176,24,857.208212115249,186.268734515671,938135.069904411,"potential bp",11,1
1995,105,689.181208481787,187.280245842162,516411.991122887,"potential bp|isotope",2,1
6920,248,689.181077338183,175.191343725742,98742.9601092852,"bp|isotope",1,1
3956,33,359.028934255164,99.3319388261546,220192.075144667,"",NA,NA
3202,13,359.029286140603,132.029400746397,287941.619703718,"",NA,NA
4072,16,359.029268575468,157.214349841113,210718.177348209,"",NA,NA
4447,24,359.029232847817,186.392059715219,185238.833632446,"",NA,NA
15842,245,711.494423409219,197.323248712183,18303.2169041471,"",NA,NA
12374,245,654.44559901569,197.509906565096,33315.8385401552,"potential bp|isotope",0,1
9555,245,653.441726199666,197.459982049213,57440.857833645,"potential bp",0,1
1016,24,856.217272634144,186.273441192608,1102543.9800108,"potential bp|isotope",14,1
6872,232,522.363923220825,194.126529816747,99716.0328261007,"potential bp|isotope",0,1
10215,248,493.465252876576,175.38414005603,49995.6675688553,"potential bp|isotope",2,1
5903,245,670.469728299868,197.408803055697,125025.618175621,"bp",1,1
9482,245,671.4734806006,197.4703567951,58401.6901523515,"bp|isotope",1,1
14583,245,675.422826895512,197.379256903581,23083.3310178361,"",NA,NA
